Route_ID,Source_City,Destination_City,Distance_km,Departure_Time,Arrival_Time,Duration_min,Day_of_Week,Bus_Type,Operator_Name,Seats_Available,Total_Seats,Ticket_Price_INR,Rating,Reviews_Count
R0001,Pune,Mumbai,795,04:45,22:41,1136,Tuesday,Non-AC Semi-Sleeper,Orange Tours,19,40,2533.3,3.7,1179
R0002,Rajkot,Kochi,177,20:30,15:51,1161,Thursday,Non-AC Seater,SRS Travels,18,44,398.67,4.2,130
R0003,Agra,Trivandrum,698,12:00,14:33,153,Tuesday,Non-AC Seater,GreenLine Travels,18,36,1982.58,4.9,1310
R0004,Shillong,Bangalore,218,09:45,08:25,1420,Wednesday,AC Semi-Sleeper,GreenLine Travels,12,40,412.39,4.1,1609
R0005,Ahmedabad,Trivandrum,659,22:30,00:04,154,Wednesday,Non-AC Seater,VRL Logistics,39,44,1626.04,4.8,1745
R0006,Lucknow,Rajkot,1174,04:00,19:42,942,Tuesday,Non-AC Seater,SRS Travels,27,30,3564.08,4.2,1667
R0007,Madurai,Jaipur,395,15:45,13:43,1378,Sunday,AC Seater,VRL Logistics,16,30,1120.95,5.0,278
R0008,Goa,Trivandrum,1113,03:30,19:34,964,Tuesday,AC Sleeper,National Express,9,30,2195.95,4.7,887
R0009,Surat,Madurai,1164,05:00,18:22,802,Wednesday,Non-AC Semi-Sleeper,National Express,16,36,2137.72,3.6,557
R0010,Kolkata,Chandigarh,1364,10:00,12:46,166,Tuesday,AC Sleeper,KSRTC,9,42,3177.54,3.6,890
R0011,Nashik,Pune,841,06:30,08:55,145,Wednesday,AC Seater,KSRTC,9,30,2647.0,4.7,1062
R0012,Lucknow,Chandigarh,1234,01:15,16:47,932,Wednesday,Non-AC Sleeper,Orange Tours,16,42,3182.21,3.9,761
R0013,Pune,Coimbatore,368,08:00,14:52,412,Monday,AC Semi-Sleeper,GreenLine Travels,7,48,930.01,4.7,834
R0014,Kochi,Patna,1489,18:15,06:35,740,Sunday,AC Seater,Royal Rajasthan,26,36,2768.21,5.0,598
